,,Job No,Cost Code No,"Cost
Description",Original Estimated Costs,"Approved
CO's","Revised
Est
Cost","Costs
to Date","Remaining
Budget","Remaining 
Commited
Cost","Projected 
(Over)/Under","% Variance
Actual Vs
Budget"
,,25-38     ,         1,General Conditions,,3762.0000000,3762.0000000,3762.0000000,,,,100
,,25-38     ,         2,Shop Drawings,2500.0000000,,2500.0000000,3529.0000000,-1029.0000000,,-1029.0000000,141.16
,,25-38     ,         3,Overnight Lodging Expenses,3500.0000000,,3500.0000000,172.9900000,3327.0100000,,3327.0100000,4.94257142857142848
,,25-38     ,         4,Storefront, Curtain Wall and A,35065.0000000,,35065.0000000,36061.1200000,-996.1200000,,-996.1200000,102.840781405960352
,,25-38     ,        11,Insulated & Monolithic Glass,20228.0000000,,20228.0000000,33626.4400000,-13398.4400000,,-13398.4400000,166.23709709313824
,,25-38     ,        15,Break Metal,1050.0000000,,1050.0000000,2986.6200000,-1936.6200000,,-1936.6200000,284.44
,,25-38     ,        16,Sealant,1188.0000000,,1188.0000000,,1188.0000000,,1188.0000000,
,,25-38     ,        18,Rental Equipment,6500.0000000,,6500.0000000,10496.0900000,-3996.0900000,,-3996.0900000,161.478307692307744
,,25-38     ,        19,Tools & Small Equipment,300.0000000,,300.0000000,,300.0000000,,300.0000000,
,,25-38     ,        20,Miscellaneous,300.0000000,300.0000000,600.0000000,256.8800000,343.1200000,,343.1200000,42.8133333333333312
,,25-38     ,        21,Safety Equipment and Tools,150.0000000,,150.0000000,,150.0000000,,150.0000000,
,,25-38     ,        22,In House Installation Labor,29675.0000000,1062.0000000,30737.0000000,31625.4500000,-888.4500000,,-888.4500000,102.89049028857728
,,25-38     ,        23,In House Fabrication Labor,7500.0000000,,7500.0000000,9158.7400000,-1658.7400000,,-1658.7400000,122.116533333333344
,,25-38     ,        28,Project Management ,5500.0000000,,5500.0000000,5571.3700000,-71.3700000,,-71.3700000,101.297636363636368
,,25-38     ,        30,Hardware ,560.0000000,,560.0000000,,560.0000000,,560.0000000,
,,25-38     ,        32,Shipping,1500.0000000,,1500.0000000,1125.0000000,375.0000000,,375.0000000,74.9999999999999872
,,25-38     ,        38,Health ,,,,1493.4600000,-1493.4600000,,-1493.4600000,
,,25-38     ,        39,Dental,,,,106.8600000,-106.8600000,,-106.8600000,
,,25-38     ,        40,Vision,,,,62.4900000,-62.4900000,,-62.4900000,
,,25-38     ,        41,Field Management,,,,3879.8500000,-3879.8500000,,-3879.8500000,
,,25-38     ,        42,Shop Management,,,,3405.6400000,-3405.6400000,,-3405.6400000,
** ODOT Auglaize County Totals **,
,,25-38     ,,,115516.0000000,5124.0000000,120640.0000000,147320.0000000,-26680.0000000,,-26680.0000000,122.115384615384624
,
Client Name: ,1018 - Setterlin
Original Contract Amount: ,184120.0000000
Change Orders to Date: ,5196.0000000
Total Revised Contract Amount: ,189316.0000000
Billed To Date: ,161095.0000000
Left To Bill On Contract: ,28221.0000000
** Grand Totals **,
,,,,,115516.0000000,5124.0000000,120640.0000000,147320.0000000,-26680.0000000,,-26680.0000000,122.115384615384624
